feature_name,data_type,data_class,unique_values,minimum_value,maximum_value,mean_value
afspraak_participatietrede_vervolgmeting,integer,integer,5,0,4,0.8958054616
afspraak_signaal_van_aanbieder,integer,integer,23,0,31,0.5313606673
afspraak_signaal_voor_medewerker,integer,integer,30,0,46,2.737861021
afspraak_toevoegen_inschrijving_uwvwb,integer,integer,5,0,5,0.260171559
afspraak_vervolgmeting_matchbaarheid_werkzoekende_klant,integer,integer,4,0,3,0.2556071457
afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis,integer,integer,5,0,4,0.1016762414
afspraak_voortgangsgesprek,integer,integer,18,0,19,0.4325962068
afspraak_afgelopen_jaar_afsprakenplan,integer,integer,7,0,6,0.2355394664
afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel,integer,integer,4,0,3,0.04603761706
afspraak_afgelopen_jaar_ontheffing,integer,integer,4,0,3,0.2034311797
afspraak_afgelopen_jaar_ontheffing_taaleis,integer,integer,4,0,3,0.05894388919
afspraak_afgelopen_jaar_plan_van_aanpak,integer,integer,6,0,5,0.8880144802
afspraak_afgelopen_jaar_signaal_voor_medewerker,integer,integer,18,0,17,1.256394113
afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant,integer,integer,4,0,3,0.1218226175
afspraak_afgelopen_jaar_voortgang_aanmelding_en_deelname,integer,integer,15,0,14,1.786023452
instrument_ladder_huidig_activering,integer,integer,5,0,4,0.5451326041
instrument_ladder_huidig_other,integer,integer,7,0,6,0.1858031007
instrument_ladder_huidig_werk_re_integratie,integer,integer,7,0,6,0.2067364445
instrument_ladder_historie_activering,integer,integer,12,0,11,2.154166995
instrument_ladder_historie_other,integer,integer,9,0,8,0.2651294562
instrument_reden_beeindiging_historie_centrale_actie_wigo4it,integer,integer,9,0,8,0.3604312584
instrument_reden_beeindiging_historie_diagnose_gesteld,integer,integer,3,0,2,0.09065869206
instrument_reden_beeindiging_historie_direct_matchbaar,integer,integer,5,0,4,0.04147320375
instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom,integer,integer,11,0,10,0.9187849217
instrument_reden_beeindiging_historie_doelstelling_bereikt__uitstroom_naar_regulier_werk,integer,integer,5,0,4,0.05540253404
instrument_reden_beeindiging_historie_doelstelling_bereikt__uitstroom_overig,integer,integer,5,0,4,0.07381758086
instrument_reden_beeindiging_historie_doelstelling_niet_bereikt__geen_uitstroom,integer,integer,11,0,10,0.8320610687
instrument_reden_beeindiging_historie_niet_matchbaar,integer,integer,5,0,4,0.08145116865
instrument_reden_beeindiging_historie_niet_succesvol,integer,integer,9,0,8,0.4258282836
instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende,integer,integer,6,0,5,0.04627370741
instrument_reden_beeindiging_historie_op_termijn_matchbaar,integer,integer,4,0,3,0.1030927835
instrument_reden_beeindiging_historie_other,integer,integer,8,0,7,0.3385535532
instrument_reden_beeindiging_historie_overdracht_naar_mo,integer,integer,4,0,3,0.1641614858
instrument_reden_beeindiging_historie_overdracht_naar_prematching,integer,integer,4,0,3,0.07979853624
instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm,integer,integer,3,0,2,0.04556543637
instrument_reden_beeindiging_historie_overdracht_succesvol,integer,integer,4,0,3,0.2232627686
instrument_reden_beeindiging_historie_succesvol,integer,integer,12,0,21,0.9403478398
instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt,integer,integer,4,0,3,0.04894939797
instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente,integer,integer,7,0,6,0.2870071614
instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod,integer,integer,5,0,4,0.1106476745
instrument_aantal_laatstejaar,integer,integer,11,0,10,0.8484299992
component_component_kostendeler,integer,integer,2,0,1,0.06280003148
component_bijstandsnorm_alleenstaande_21_,integer,integer,144,0,143,52.60360431
component_gem__toeslag_alleenstaande_ouder__20_,integer,integer,82,0,81,35.77201542
component_inkomen_alleenstaande_ouderkorting_klant,integer,integer,77,0,76,9.948611002
component_ontvangst_nf_np,integer,integer,89,0,309,4.27457307
component_vakantiegeld_reservering,integer,integer,6,0,5,0.04745415912
component_verblijf_buitenland_klant,integer,integer,25,0,31,1.345636263
component_laatste12mdn_opvoer_schuldbedrag,integer,integer,115,0,277,7.479499488
component_laatste12mdn_other,integer,integer,284,0,1518,15.84890218
component_recentste_opvoer_schuldbedrag,integer,integer,4,0,3,0.04115841662
